;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S1100,Yamaha,A-S1100,100,Превосходное качество звучания -это усилитель A-S1100,;В качестве базового решения схемы усилителя использована разработанная специалистами Yamaha уникальная технология симметричного усиления мощности с «плавающими» источниками питания. Применение выходных звеньев с той же полярностью на положительной и отрицательной сторонах выходного каскада в сочетании с полным разделением схемы ООС (отрицательной обратной связи) и источника питания в общей сложности на четыре положительных и отрицательных стороны левого и правого каналов обеспечивает полностью симметричный двухтактный режим работы выходного каскада, а полностью «плавающая» схема усиления мощности по отношению к заземлению устраняет любое негативное воздействие малых колебаний напряжения или помех на «земляной» шине. Кроме того, выходные звенья состоят из полевых МОП-транзисторов, обеспечивающих теплый и естественный характер звучания. Использование таких транзисторов, имеющих на положительной и отрицательной сторонах ту же полярность, делает полностью симметричную конструкцию еще более совершенной, исключая отклонения качества звучания из-за разной полярности. Это одна из главных отличительных черт симметричного усилителя мощности с «плавающими» источниками питания, обеспечивающая превосходное отношение сигнал/шум и звуковое поле с предельно точной локализацией составляющих.;,1714,1714
;Hi-Fi Компоненты, CD проигрыватели;,CD-проигрыватель CD-S1000,Yamaha,CD-S1000,100,CD-проигрыватель CD-S1000 - высокое качество звука,;Аудиоформат, основанный на существующих CD-стандартах, но включающий больший объем информации для более высокого качества звука. Существует три типа таких дисков: однослойные, двухслойные и гибридные. Последние можно проигрывать как на обычном CD-плеере, так и на проигрывателе дисков Super Audio CD, поскольку они содержат информацию стандартного аудио CD и Super Audio CD. Название Super Audio CD является торговым знаком.;,1221,1221
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель  A-S301,Yamaha,A-S301,100,Превосходное качество звучания,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального ;,437,437
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S501,Yamaha,A-S501,100,Впечатляющее качество звучания,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.;,570,570
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S701,Yamaha,A-S701,100,Предельно чистый звук ,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.

Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.

;,980,980
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S801BL,Yamaha,A-S801BL,100,Новейшие звуковые форматы высокого разрешения,;Для эффективного гашения вибраций, отрицательно сказывающихся на качестве звучания, шасси усилителя A-S801 имеет двойное днище со стальным листом толщиной 1 мм. Помимо того, силовой трансформатор и радиаторы в секции усилителя мощности опираются на чрезвычайно прочное и устойчивое основание ART (Anti-Resonance and Tough) Base. Массивная центральная перемычка еще больше увеличивает жесткость конструкции и виброгашение. Эти конструктивные усовершенствования способствуют увеличению отношения сигнал/шум и получению естественного и насыщенного звука.;,726,726
